Longitude,Latitude,Pixel,Scan
68.6116347,42.0603085,0,4850
68.7885393,42.0587488,50,4850
68.9653428,42.0568935,100,4850
69.1420933,42.0547426,150,4850
69.3188387,42.0522955,200,4850
69.4920905,42.0496091,249,4850
68.610256,41.9252215,0,4900
68.7868627,41.9236646,50,4900
68.9633686,41.9218132,100,4900
69.1398218,41.919667,150,4900
69.3162702,41.9172257,200,4900
69.4892312,41.9145461,249,4900
68.6088696,41.7900457,0,4950
68.7851807,41.7884903,50,4950
68.9613915,41.7866413,100,4950
69.1375497,41.7844987,150,4950
69.3137033,41.7820619,200,4950
69.4863756,41.7793877,249,4950
68.6074571,41.6549985,0,5000
68.7834749,41.6534432,50,5000
68.9593924,41.6515953,100,5000
69.1352575,41.6494548,150,5000
69.3111182,41.6470212,200,5000
69.4835035,41.644351,249,5000
68.6060552,41.519969,0,5050
68.7817816,41.5184141,50,5050
68.957408,41.5165678,100,5050
69.1329822,41.5144298,150,5050
69.3085521,41.5119996,200,5050
69.4806524,41.5093339,249,5050
68.6045679,41.3850087,0,5100
68.7800055,41.3834518,50,5100
68.955343,41.3816044,100,5100
69.1306282,41.3794665,150,5100
69.3059089,41.3770374,200,5100
69.4777257,41.3743738,249,5100
68.6031567,41.2499559,0,5150
68.7783073,41.2483993,50,5150
68.9533579,41.2465532,100,5150
69.1283565,41.2444175,150,5150
69.3033506,41.2419917,200,5150
69.4748865,41.2393323,249,5150
68.6017536,41.1148977,0,5200
68.7766193,41.1133422,50,5200
68.9513852,41.1114983,100,5200
69.1260991,41.1093658,150,5200
69.3008087,41.1069443,200,5200
69.4720659,41.1042899,249,5200
68.6003324,40.9798232,0,5250
68.7749154,40.9782666,50,5250
68.9493987,40.9764225,100,5250
69.1238301,40.9742909,150,5250
69.2982572,40.9718711,200,5250
69.4692375,40.9692195,249,5250
68.5989371,40.8447936,0,5300
68.7732392,40.843237,50,5300
68.9474418,40.8413941,100,5300
69.1215926,40.8392645,150,5300
69.2957393,40.8368478,200,5300
69.4664448,40.8342002,249,5300
68.5975667,40.709753,0,5350
68.7715898,40.7081969,50,5350
68.9455137,40.7063553,100,5350
69.1193861,40.7042281,150,5350
69.2932544,40.7018148,200,5350
69.4636873,40.6991715,249,5350
68.5961446,40.5747102,0,5400
68.7698911,40.5731539,50,5400
68.9435386,40.5713131,100,5400
69.1171344,40.5691877,150,5400
69.2907263,40.5667772,200,5400
69.4608881,40.5641376,249,5400
68.5947488,40.4396888,0,5450
68.7682206,40.4381326,50,5450
68.9415935,40.4362929,100,5450
69.1149148,40.4341696,150,5450
69.2882322,40.4317622,200,5450
69.4581251,40.4291266,249,5450
68.5934118,40.304683,0,5500
68.7666105,40.3031281,50,5500
68.9397105,40.3012909,100,5500
69.1127593,40.299171,150,5500
69.2858044,40.2967679,200,5500
69.4554307,40.2941375,249,5500
68.5919877,40.169624,0,5550
68.7649159,40.1680675,50,5550
68.9377454,40.1662295,100,5550
69.1105237,40.1641098,150,5550
69.2832983,40.1617081,200,5550
69.4526593,40.1590798,249,5550
68.5906123,40.0346414,0,5600
68.7632715,40.0330858,50,5600
